contract number,client enterprise,contract date
CSE0020450,Home Depot,2024-11-22
CSE0020451,Conoco,2022-9-21
CSE0020452,OPPO,2017-8-24
CSE0020453,Procter & Gamble,2022-3-27
CSE0020454,Mitsubishi Motors,2018-5-23
CSE0020455,Taiwan Semiconductor Manufacturing Company,2023-10-2
CSE0020456,Samsung Electronics,2018-10-31
CSE0020457,Morgan Stanley Dean Witter,2016-6-19
CSE0020458,Wal-Mart Stores,2021-11-14
CSE0020459,China North Industries Group Corporation,2022-12-4
CSE0020460,Wal-Mart Stores,2025-2-10
CSE0020461,Bank Of China,2022-7-10
CSE0020462,Nortel Networks,2020-9-22
CSE0020463,Costco Wholesale,2016-10-1
CSE0020464,Agricultural Bank of China,2020-5-28
CSE0020465,MetLife,2018-6-15
CSE0020466,Nissan Motor,2024-5-5
CSE0020467,Assicurazioni Generali,2018-4-11
CSE0020468,Pfizer,2022-12-19
CSE0020469,Crижdit Agricole,2017-12-7
CSE0020470,Royal Dutch-Shell Group,2019-9-10
CSE0020471,Motorola,2018-9-18
CSE0020472,Pfizer,2020-7-21
CSE0020473,Samsung,2024-7-17
CSE0020474,Repsol YPF,2018-10-3
CSE0020475,Tokyo Electric Power,2016-8-26
CSE0020476,Toyota Motor,2022-4-20
CSE0020477,Motorola,2024-4-13
CSE0020478,Royal Dutch-Shell Group,2017-8-28
CSE0020479,Deutsche Telekom,2023-10-28
CSE0020480,ENI,2017-9-15
CSE0020481,State Farm Insurance Cos.,2022-5-5
CSE0020482,Vivendi Universal,2021-10-27
CSE0020483,State Power Corporation,2017-6-12
CSE0020484,AXA,2023-9-21
CSE0020485,Sumitomo,2021-2-28
CSE0020486,China Merchants Bank,2019-5-22
CSE0020487,Ping An Insurance (Group) Company Of China,2022-2-28
CSE0020488,Alcatel,2020-5-30
CSE0020489,AT&T,2022-9-17
CSE0020490,ENI,2022-5-4
CSE0020491,Deutsche Post,2020-8-6
CSE0020492,Ingram Micro,2021-12-9
CSE0020493,Dell Computer,2018-8-30
CSE0020494,Mitsubishi Electric,2016-1-11
CSE0020495,E.I. du Pont de Nemours,2020-4-24
CSE0020496,U.S. Postal Service,2016-8-1
CSE0020497,Target,2019-3-8
CSE0020498,Rwe Group,2021-8-18
CSE0020499,Samsung,2023-9-22
CSE0020500,Netease,2017-2-5
CSE0020501,General Motors,2018-6-22
CSE0020502,MetLife,2020-7-1
CSE0020503,SK,2023-9-30
CSE0020504,Alcatel,2021-4-24
CSE0020505,CHOW TAI FOOK,2021-5-14
CSE0020506,Future Bright Group,2020-8-17
CSE0020507,Sears Roebuck,2025-2-25
CSE0020508,Pemex,2019-7-6
CSE0020509,UBS,2024-9-24
CSE0020510,Hitachi,2020-2-3
CSE0020511,BP,2017-5-27
CSE0020512,E. ON,2019-8-14
CSE0020513,Deutsche Post,2024-7-29
CSE0020514,Berkshire Hathaway,2024-7-5
CSE0020515,J.P. Morgan Chase,2017-7-23
CSE0020516,AXA,2016-5-22
CSE0020517,CGNU,2020-12-15
CSE0020518,Mitsubishi Motors,2021-3-10
CSE0020519,Fiat,2022-1-1
CSE0020520,AT&T,2017-7-2
CSE0020521,Texaco,2016-6-19
CSE0020522,Meituan,2021-11-28
CSE0020523,Foxconn,2016-12-6
CSE0020524,Compaq Computer,2020-4-3
CSE0020525,Thyssen Krupp,2017-9-2
CSE0020526,United Parcel Service,2020-1-2
CSE0020527,Tesco,2017-8-13
CSE0020528,Chengdu AIG,2024-10-26
CSE0020529,Tesco,2019-6-4
CSE0020530,Santander Central Hispano Group,2019-8-3
CSE0020531,Sumitomo,2016-6-23
CSE0020532,State Power Corporation,2016-8-28
CSE0020533,Royal Philips Electronics,2017-6-9
CSE0020534,Nissho Iwai,2024-8-11
CSE0020535,L.M. Ericsson,2023-1-7
CSE0020536,American International Group,2018-2-5
CSE0020537,UBS,2023-4-8
CSE0020538,Renault,2018-4-17
CSE0020539,Itochu,2019-1-31
CSE0020540,Albertson's,2020-5-16
CSE0020541,Munich Re Group,2016-6-20
CSE0020542,Agricultural Bank of China,2024-6-30
CSE0020543,Matsushita Electric Industrial,2021-5-11
CSE0020544,BT,2020-9-20
CSE0020545,UBS,2019-5-13
CSE0020546,Procter & Gamble,2019-3-30
CSE0020547,Sears Roebuck,2023-10-8
CSE0020548,Chengdu AIG,2023-3-3
CSE0020549,Matsushita Electric Industrial,2024-6-20
CSE0020550,Sony,2025-1-26
CSE0020551,Samsung Electronics,2020-3-25
CSE0020552,China Electronics Technology Group Corporation,2019-8-4
CSE0020553,MetLife,2019-3-5
CSE0020554,Dai-ichi Mutual Life Insurance,2016-2-23
CSE0020555,Taiwan Semiconductor Manufacturing Company,2019-11-3
CSE0020556,Meiji Life Insurance,2024-2-14
CSE0020557,UBS,2020-10-5
CSE0020558,Intl. Business Machines,2023-4-14
CSE0020559,Royal Dutch-Shell Group,2021-4-8
CSE0020560,UBS,2024-1-31
CSE0020561,Credit Suisse,2018-7-28
CSE0020562,Bilibili,2017-6-23
CSE0020563,Cardinal Health,2020-3-16
CSE0020564,Kmart,2022-10-18
CSE0020565,Bank Of China,2016-10-31
CSE0020566,Freddie Mac,2019-4-4
CSE0020567,Assicurazioni Generali,2019-12-12
CSE0020568,Reliant Energy,2022-6-4
CSE0020569,UBS,2016-5-27
CSE0020570,Bank of America Corp.,2021-10-16
CSE0020571,Toyota Motor,2019-3-30
CSE0020572,Matsushita Electric Industrial,2021-5-6
CSE0020573,Fortis,2022-11-7
CSE0020574,BMW,2018-12-1
CSE0020575,General Motors,2022-11-15
CSE0020576,Total Fina Elf,2021-4-11
CSE0020577,MetLife,2020-4-18
CSE0020578,Unilever,2024-5-7
CSE0020579,Crижdit Agricole,2020-7-19
CSE0020580,Foxconn,2017-11-25
CSE0020581,China Construction Bank,2021-12-4
CSE0020582,Samsung Electronics,2016-7-26
CSE0020583,Hyundai,2016-11-3
CSE0020584,Royal Philips Electronics,2024-6-18
CSE0020585,Nissho Iwai,2019-6-1
CSE0020586,Morgan Stanley Dean Witter,2022-6-20
CSE0020587,J.P. Morgan Chase,2017-3-20
CSE0020588,BT,2020-2-14
CSE0020589,U.S. Postal Service,2017-3-8
CSE0020590,Mitsui,2024-8-10
CSE0020591,U.S. Postal Service,2017-3-25
CSE0020592,Vivendi Universal,2016-9-27
CSE0020593,Koninklijke Ahold,2018-8-7
CSE0020594,PDVSA,2016-11-17
CSE0020595,Vivendi Universal,2017-9-25
CSE0020596,Johnson & Johnson,2018-9-2
CSE0020597,Safeway,2024-8-9
CSE0020598,Philip Morris,2017-12-31
CSE0020599,Alcatel,2016-3-23
CSE0020600,Compaq Computer,2023-11-28
CSE0020601,McKesson HBOC,2017-5-23
CSE0020602,Nippon Life Insurance,2017-5-29
CSE0020603,Duke Energy,2017-4-20
CSE0020604,Zurich Financial Services,2018-5-15
CSE0020605,Allstate,2023-3-3
CSE0020606,J.P. Morgan Chase,2019-5-17
CSE0020607,Suez,2019-5-31
CSE0020608,Bank Of China,2021-8-13
CSE0020609,Tesco,2022-3-16
CSE0020610,Metro,2024-5-12
CSE0020611,Morgan Stanley Dean Witter,2023-1-29
CSE0020612,Electricite De France,2020-6-4
CSE0020613,Matsushita Electric Industrial,2018-7-2
CSE0020614,CHOW TAI FOOK,2016-1-2
CSE0020615,Meituan,2017-5-17
CSE0020616,Chengdu AIG,2019-3-10
CSE0020617,E. ON,2021-8-9
CSE0020618,Citigroup,2017-3-4
CSE0020619,CGNU,2020-7-26
CSE0020620,China Petroleum,2016-8-20
CSE0020621,Hyundai,2019-9-22
CSE0020622,Nestlиж,2019-8-29
CSE0020623,WorldCom,2019-9-4
CSE0020624,Dynegy,2024-8-15
CSE0020625,Samsung Electronics,2020-3-22
CSE0020626,BMW,2021-12-26
CSE0020627,Pinduoduo,2016-6-16
CSE0020628,Lucent Technologies,2023-11-22
CSE0020629,Procter & Gamble,2024-10-19
CSE0020630,Zurich Financial Services,2019-5-10
CSE0020631,Lucent Technologies,2024-12-23
CSE0020632,Itochu,2022-4-9
CSE0020633,Dynegy,2019-4-25
CSE0020634,Albertson's,2016-9-24
CSE0020635,American International Group,2017-9-3
CSE0020636,Delphi Automotive Systems,2017-5-3
CSE0020637,BT,2020-10-28
CSE0020638,Lucent Technologies,2017-4-18
CSE0020639,Robert Bosch,2021-4-5
CSE0020640,Freddie Mac,2022-5-20
CSE0020641,Berkshire Hathaway,2022-10-25
CSE0020642,Intel,2020-11-26
CSE0020643,Boeing,2023-9-19
CSE0020644,Goldman Sachs Group,2022-2-4
CSE0020645,Fiat,2021-9-18
CSE0020646,State Power Corporation,2020-4-22
CSE0020647,Siemens,2020-7-19
CSE0020648,Mitsui,2025-1-31
CSE0020649,Safeway,2022-6-27
CSE0020650,WorldCom,2018-5-28
CSE0020651,AXA,2020-8-10
CSE0020652,ENI,2021-10-17
CSE0020653,Pfizer,2024-3-23
CSE0020654,Credit Suisse,2020-11-6
CSE0020655,Future Bright Group,2018-8-26
CSE0020656,Honda Motor,2020-8-5
CSE0020657,Bank of America Corp.,2024-1-1
CSE0020658,Tokyo Electric Power,2019-5-4
CSE0020659,Mitsubishi,2025-2-7
CSE0020660,Ford Motor,2016-6-25
CSE0020661,Ford Motor,2016-3-11
CSE0020662,Intel,2021-10-9
CSE0020663,ENI,2022-8-15
CSE0020664,Albertson's,2018-7-17
CSE0020665,Tencent,2024-1-7
CSE0020666,Xiaomi,2022-9-4
CSE0020667,Berkshire Hathaway,2022-1-30
CSE0020668,Royal Bank of Scotland,2021-6-21
CSE0020669,Mitsubishi Electric,2017-6-27
CSE0020670,Nortel Networks,2018-6-27
CSE0020671,Samsung,2020-9-30
CSE0020672,Tencent,2018-11-8
CSE0020673,Tencent,2018-11-21
CSE0020674,China Petroleum,2022-5-7
CSE0020675,Alibaba,2020-8-24
CSE0020676,Tesco,2016-4-27
CSE0020677,CGNU,2019-12-25
CSE0020678,CGNU,2017-5-1
CSE0020679,Tokyo Electric Power,2022-1-16
CSE0020680,MiHoYo,2019-7-11
CSE0020681,Marubeni,2024-6-23
CSE0020682,USX,2020-10-9
CSE0020683,Berkshire Hathaway,2024-7-18
CSE0020684,Tesco,2024-3-15
CSE0020685,Koninklijke Ahold,2021-12-1
CSE0020686,Fannie Mae,2024-1-9
CSE0020687,Mitsui,2019-5-7
CSE0020688,Duke Energy,2023-5-1
CSE0020689,Meiji Life Insurance,2017-4-3
CSE0020690,BT,2022-5-14
CSE0020691,Metro,2023-12-13
CSE0020692,Berkshire Hathaway,2023-12-12
CSE0020693,Total Fina Elf,2021-11-22
CSE0020694,Hitachi,2019-6-27
CSE0020695,Sony,2017-12-7
CSE0020696,Royal Bank of Scotland,2024-9-17
CSE0020697,BNP Paribas,2023-12-27
CSE0020698,Nortel Networks,2020-10-19
CSE0020699,Foxconn,2022-1-13
CSE0020700,Tesco,2022-1-26
CSE0020701,BASF,2020-12-5
CSE0020702,Reliant Energy,2023-6-26
CSE0020703,China North Industries Group Corporation,2020-4-2
CSE0020704,Intl. Business Machines,2022-10-16
CSE0020705,Bank of America Corp.,2020-6-27
CSE0020706,Intel,2023-6-3
CSE0020707,China North Industries Group Corporation,2016-5-29
CSE0020708,Electricite De France,2016-10-9
CSE0020709,Samsung Electronics,2017-9-22
CSE0020710,Xiaomi,2018-2-24
CSE0020711,Chengdu AIG,2021-3-4
CSE0020712,Nissho Iwai,2017-2-20
CSE0020713,Albertson's,2016-10-21
CSE0020714,United Parcel Service,2019-6-13
CSE0020715,Philip Morris,2024-8-24
CSE0020716,Royal Philips Electronics,2020-10-6
CSE0020717,Conoco,2018-2-23
CSE0020718,Pfizer,2020-8-5
CSE0020719,Chengdu AIG,2018-1-13
CSE0020720,HSBC Holdings,2017-3-29
CSE0020721,Zurich Financial Services,2019-4-27
CSE0020722,Mitsui,2019-4-21
CSE0020723,Baidu,2023-11-15
CSE0020724,WorldCom,2017-2-4
CSE0020725,Meituan,2021-6-12
CSE0020726,Philip Morris,2018-4-11
CSE0020727,Itochu,2017-3-22
CSE0020728,Suez,2023-1-7
CSE0020729,Intl. Business Machines,2025-2-10
CSE0020730,Alibaba,2023-5-11
CSE0020731,Assicurazioni Generali,2025-1-3
CSE0020732,Taiwan Semiconductor Manufacturing Company,2020-8-26
CSE0020733,Conoco,2025-2-28
CSE0020734,Suez,2025-1-28
CSE0020735,Industrial and Commercial Bank of China,2022-6-25
CSE0020736,Allianz,2025-3-21
CSE0020737,Kmart,2021-4-9
CSE0020738,Johnson & Johnson,2019-10-26
CSE0020739,Robert Bosch,2022-9-20
CSE0020740,CGNU,2022-3-28
CSE0020741,Netease,2021-5-4
CSE0020742,Ingram Micro,2025-3-9
CSE0020743,OPPO,2025-3-20
CSE0020744,Bank of America Corp.,2022-5-16
CSE0020745,Allstate,2022-12-8
CSE0020746,Industrial and Commercial Bank of China,2024-11-29
CSE0020747,Pfizer,2022-12-12
CSE0020748,China Electronics Technology Group Corporation,2024-6-9
CSE0020749,Allstate,2021-5-28
CSE0020750,OPPO,2019-12-22
CSE0020751,Intl. Business Machines,2024-5-20
CSE0020752,Allianz,2020-7-22
CSE0020753,Alibaba,2017-2-2
CSE0020754,Meiji Life Insurance,2017-9-22
CSE0020755,Home Depot,2022-9-6
CSE0020756,McKesson HBOC,2016-11-25
CSE0020757,Huawei,2020-2-11
CSE0020758,Tesco,2018-6-4
CSE0020759,OPPO,2022-11-22
CSE0020760,Royal Dutch-Shell Group,2018-8-29
CSE0020761,Munich Re Group,2019-2-3
CSE0020762,L.M. Ericsson,2021-12-20
CSE0020763,China Merchants Bank,2018-5-4
CSE0020764,Vivendi Universal,2020-5-23
CSE0020765,Deutsche Post,2022-10-3
CSE0020766,Kmart,2017-3-28
CSE0020767,Costco Wholesale,2025-2-2
CSE0020768,SBC Communications,2018-6-22
CSE0020769,AXA,2016-3-16
CSE0020770,MetLife,2017-5-22
CSE0020771,Ford Motor,2017-7-21
CSE0020772,United Parcel Service,2022-9-2
CSE0020773,Credit Suisse,2024-4-24
CSE0020774,Mitsui,2020-10-19
CSE0020775,Tencent,2020-11-29
CSE0020776,Johnson & Johnson,2024-1-15
CSE0020777,Future Bright Group,2019-2-16
CSE0020778,Repsol YPF,2022-1-6
CSE0020779,Boeing,2017-3-25
CSE0020780,American International Group,2020-4-23
CSE0020781,Bilibili,2017-1-3
CSE0020782,BASF,2022-10-21
CSE0020783,Procter & Gamble,2024-5-26
CSE0020784,Intel,2024-6-1
CSE0020785,Meituan,2020-3-31
CSE0020786,Pinduoduo,2022-7-3
CSE0020787,ENI,2021-4-5
CSE0020788,Foxconn,2025-1-11
CSE0020789,Sinopec,2025-1-16
CSE0020790,UBS,2019-3-12
CSE0020791,Koninklijke Ahold,2016-3-9
CSE0020792,Tokyo Electric Power,2018-7-19
CSE0020793,Texaco,2022-4-25
CSE0020794,Deutsche Bank,2022-11-10
CSE0020795,Dai-ichi Mutual Life Insurance,2019-1-17
CSE0020796,Kroger,2025-3-6
CSE0020797,United Parcel Service,2019-6-10
CSE0020798,HSBC Holdings,2024-5-1
CSE0020799,Santander Central Hispano Group,2016-9-14
CSE0020800,Berkshire Hathaway,2018-11-18
CSE0020801,Assicurazioni Generali,2022-6-14
CSE0020802,General Motors,2020-12-8
CSE0020803,Reliant Energy,2019-9-3
CSE0020804,Merrill Lynch,2017-6-16
CSE0020805,BASF,2018-5-24
CSE0020806,Philip Morris,2019-3-3
CSE0020807,Berkshire Hathaway,2024-7-13
CSE0020808,Marubeni,2017-9-23
CSE0020809,Crижdit Agricole,2024-7-6
CSE0020810,Toyota Motor,2018-10-5
CSE0020811,China Merchants Bank,2025-3-23
CSE0020812,NEC,2016-3-20
CSE0020813,General Electric,2023-7-9
CSE0020814,Nissan Motor,2016-3-17
CSE0020815,Vivendi Universal,2023-3-16
CSE0020816,HypoVereinsbank,2025-1-15
CSE0020817,Agricultural Bank of China,2020-3-2
CSE0020818,Goldman Sachs Group,2018-10-9
CSE0020819,Marubeni,2019-11-10
CSE0020820,Zurich Financial Services,2021-1-27
CSE0020821,BASF,2017-7-3
CSE0020822,Fortis,2024-12-14
CSE0020823,Prudential,2020-3-25
CSE0020824,Dynegy,2023-8-26
CSE0020825,Allianz,2021-7-13
CSE0020826,Sina,2016-6-23
CSE0020827,Hewlett-Packard,2017-4-6
CSE0020828,Deutsche Post,2019-8-16
CSE0020829,Hang Seng Bank Limited,2020-5-28
CSE0020830,Sumitomo Life Insurance,2022-10-19
CSE0020831,Industrial and Commercial Bank of China,2024-1-21
CSE0020832,China Petroleum,2019-3-27
CSE0020833,Itochu,2023-1-9
CSE0020834,Credit Suisse,2020-11-26
CSE0020835,Goldman Sachs Group,2019-6-27
CSE0020836,Mizuho Holdings,2016-4-18
CSE0020837,Exxon Mobil,2021-11-29
CSE0020838,Ingram Micro,2022-4-12
CSE0020839,Boeing,2016-10-18
CSE0020840,Goldman Sachs Group,2024-2-22
CSE0020841,TIAA-CREF,2022-6-18
CSE0020842,Verizon Communications,2018-3-14
CSE0020843,Munich Re Group,2021-9-7
CSE0020844,Carrefour,2019-6-24
CSE0020845,Enron,2021-2-20
CSE0020846,CHOW TAI FOOK,2017-3-12
CSE0020847,Verizon Communications,2020-2-2
CSE0020848,Nissan Motor,2017-1-9
CSE0020849,Albertson's,2017-2-12
CSE0020850,Tencent,2019-7-23
CSE0020851,Albertson's,2020-6-24
CSE0020852,Honda Motor,2017-6-8
CSE0020853,Wal-Mart Stores,2023-3-12
CSE0020854,Philip Morris,2020-8-19
CSE0020855,Verizon Communications,2016-11-21
CSE0020856,General Electric,2024-10-31
CSE0020857,Foxconn,2021-2-18
CSE0020858,France Tижlижcom,2018-2-23
CSE0020859,BT,2022-6-2
CSE0020860,Nippon Telegraph & Telephone,2020-9-9
CSE0020861,Nippon Telegraph & Telephone,2022-6-2
CSE0020862,Robert Bosch,2021-3-29
CSE0020863,Robert Bosch,2018-5-19
CSE0020864,Siemens,2019-7-17
CSE0020865,Fujitsu,2020-7-14
CSE0020866,J.P. Morgan Chase,2020-2-10
CSE0020867,OPPO,2018-1-8
CSE0020868,HSBC Holdings,2019-11-17
CSE0020869,Prudential,2020-2-16
CSE0020870,Sina,2020-9-26
CSE0020871,Volkswagen,2018-10-10
CSE0020872,Suez,2018-9-15
CSE0020873,Hang Seng Bank Limited,2019-12-9
CSE0020874,DaimlerChrysler,2018-6-15
CSE0020875,Royal Philips Electronics,2024-10-14
CSE0020876,Boeing,2017-8-16
CSE0020877,Honda Motor,2022-5-13
CSE0020878,Wal-Mart Stores,2024-2-27
CSE0020879,J.P. Morgan Chase,2017-4-30
CSE0020880,Enron,2018-11-5
CSE0020881,U.S. Postal Service,2016-3-9
CSE0020882,Renault,2016-7-8
CSE0020883,Procter & Gamble,2018-9-30
CSE0020884,Target,2017-10-30
CSE0020885,MiHoYo,2017-4-7
CSE0020886,China Construction Bank,2016-8-27
CSE0020887,Sumitomo Life Insurance,2018-3-4
CSE0020888,Tokyo Electric Power,2018-2-20
CSE0020889,TIAA-CREF,2019-9-27
CSE0020890,HSBC Holdings,2024-6-28
CSE0020891,Renault,2025-1-14
CSE0020892,U.S. Postal Service,2024-7-26
CSE0020893,Texaco,2019-7-7
CSE0020894,Fiat,2019-12-17
CSE0020895,Itochu,2021-12-21
CSE0020896,Hang Seng Bank Limited,2023-12-26
CSE0020897,E.I. du Pont de Nemours,2018-3-5
CSE0020898,Volkswagen,2016-9-21
CSE0020899,France Tижlижcom,2019-5-26
CSE0020900,Royal Dutch-Shell Group,2017-9-1
CSE0020901,Alcatel,2016-3-17
CSE0020902,Freddie Mac,2022-8-10
CSE0020903,Mizuho Holdings,2021-6-21
CSE0020904,American International Group,2024-2-16
CSE0020905,Boeing,2024-10-13
CSE0020906,Chengdu AIG,2018-2-25
CSE0020907,Morgan Stanley Dean Witter,2023-4-8
CSE0020908,Kmart,2024-7-12
CSE0020909,Honda Motor,2021-10-25
CSE0020910,Fannie Mae,2021-7-26
CSE0020911,TIAA-CREF,2017-3-16
CSE0020912,Electricite De France,2017-7-14
CSE0020913,Nestlиж,2022-1-28
CSE0020914,Toshiba,2019-3-22
CSE0020915,BASF,2023-6-10
CSE0020916,ENI,2017-4-13
CSE0020917,Ping An Insurance (Group) Company Of China,2021-10-23
CSE0020918,Santander Central Hispano Group,2024-12-21
CSE0020919,Duke Energy,2018-2-6
CSE0020920,Samsung Electronics,2020-10-30
CSE0020921,Huawei,2018-1-3
CSE0020922,Mitsubishi Electric,2024-3-26
CSE0020923,Merck,2019-6-23
CSE0020924,Royal Dutch-Shell Group,2022-12-14
CSE0020925,HypoVereinsbank,2022-7-18
CSE0020926,ABN AMRO Holding,2017-6-17
CSE0020927,Morgan Stanley Dean Witter,2016-11-1
CSE0020928,Zurich Financial Services,2023-9-26
CSE0020929,E.I. du Pont de Nemours,2016-6-8
CSE0020930,China Construction Bank,2025-1-31
CSE0020931,Chevron,2020-9-22
CSE0020932,Carrefour,2019-9-22
CSE0020933,Costco Wholesale,2022-12-11
CSE0020934,Citigroup,2022-7-7
CSE0020935,Royal Dutch-Shell Group,2019-12-24
CSE0020936,Texaco,2024-6-21
CSE0020937,Agricultural Bank of China,2024-10-6
CSE0020938,MetLife,2023-6-11
CSE0020939,Toyota Motor,2023-11-1
CSE0020940,Honda Motor,2022-5-7
CSE0020941,Assicurazioni Generali,2016-2-23
CSE0020942,Ford Motor,2017-9-27
CSE0020943,Wal-Mart Stores,2024-8-7
CSE0020944,BNP Paribas,2019-1-7
CSE0020945,China Electronics Technology Group Corporation,2023-9-23
CSE0020946,Citigroup,2019-2-24
CSE0020947,Procter & Gamble,2017-1-9
CSE0020948,Suez,2024-3-13
CSE0020949,Kroger,2021-7-4
CSE0020950,Lucent Technologies,2019-4-28
CSE0020951,BP,2016-2-22
CSE0020952,Cardinal Health,2017-2-1
CSE0020953,Intl. Business Machines,2017-10-14
CSE0020954,Wal-Mart Stores,2021-11-12
CSE0020955,Future Bright Group,2018-1-24
CSE0020956,Bank Of China,2021-6-28
CSE0020957,Alibaba,2020-1-1
CSE0020958,Bilibili,2018-6-22
CSE0020959,SK,2016-7-11
CSE0020960,L.M. Ericsson,2021-11-15
CSE0020961,Reliant Energy,2018-3-3
CSE0020962,Fiat,2018-7-2
CSE0020963,Ingram Micro,2025-2-25
CSE0020964,SBC Communications,2023-7-18
CSE0020965,Delphi Automotive Systems,2022-4-18
CSE0020966,Robert Bosch,2016-4-1
CSE0020967,Xiaomi,2020-1-3
CSE0020968,Santander Central Hispano Group,2024-6-7
CSE0020969,Merck,2018-2-19
CSE0020970,Mitsui,2023-6-21
CSE0020971,U.S. Postal Service,2022-10-12
CSE0020972,Hewlett-Packard,2018-4-22
CSE0020973,American International Group,2023-8-17
CSE0020974,Reliant Energy,2019-3-7
CSE0020975,Toyota Motor,2022-11-3
CSE0020976,Tokyo Electric Power,2018-3-28
CSE0020977,CHOW TAI FOOK,2022-6-12
CSE0020978,Duke Energy,2020-4-18
CSE0020979,Hitachi,2017-11-27
CSE0020980,Target,2017-2-13
CSE0020981,Peugeot,2018-5-4
CSE0020982,ABN AMRO Holding,2018-2-17
CSE0020983,Pfizer,2021-9-29
CSE0020984,Goldman Sachs Group,2016-6-16
CSE0020985,Hang Seng Bank Limited,2020-10-29
CSE0020986,Freddie Mac,2017-3-10
CSE0020987,Alcatel,2023-8-23
CSE0020988,U.S. Postal Service,2021-5-30
CSE0020989,Nippon Life Insurance,2018-4-17
CSE0020990,Sumitomo Life Insurance,2023-12-20
CSE0020991,Morgan Stanley Dean Witter,2021-10-16
CSE0020992,Reliant Energy,2022-7-5
CSE0020993,Tesco,2023-11-24
CSE0020994,Deutsche Post,2019-3-28
CSE0020995,J.C. Penney,2021-9-26
CSE0020996,U.S. Postal Service,2023-10-16
CSE0020997,Mitsubishi,2024-7-16
CSE0020998,J.C. Penney,2017-7-19
CSE0020999,Fortis,2023-7-29
CSE0021000,J.P. Morgan Chase,2018-5-14
CSE0021001,Peugeot,2016-7-15
CSE0021002,Deutsche Post,2018-5-22
CSE0021003,Allstate,2018-12-24
CSE0021004,E. ON,2017-11-11
CSE0021005,Deutsche Post,2018-7-17
CSE0021006,China Electronics Technology Group Corporation,2020-12-1
CSE0021007,Alibaba,2019-4-11
CSE0021008,TIAA-CREF,2016-8-9
CSE0021009,Foxconn,2017-5-12
CSE0021010,Target,2016-4-25
CSE0021011,BNP Paribas,2023-6-8
CSE0021012,Munich Re Group,2017-4-30
CSE0021013,Lucent Technologies,2023-9-15
CSE0021014,Rwe Group,2021-4-24
CSE0021015,Electricite De France,2017-12-13
CSE0021016,USX,2020-9-10
CSE0021017,BMW,2021-5-12
CSE0021018,Zurich Financial Services,2016-12-16
CSE0021019,Thyssen Krupp,2017-12-23
CSE0021020,Dell Computer,2025-2-24
CSE0021021,Bank of America Corp.,2024-9-30
CSE0021022,Sina,2022-3-10
CSE0021023,Carrefour,2023-6-29
CSE0021024,UBS,2017-3-15
CSE0021025,Texaco,2018-6-27
CSE0021026,Samsung Electronics,2023-4-23
CSE0021027,China Electronics Technology Group Corporation,2023-6-27
CSE0021028,China Construction Bank,2018-7-23
CSE0021029,Duke Energy,2024-1-14
CSE0021030,NEC,2020-9-16
CSE0021031,Rwe Group,2023-6-2
CSE0021032,L.M. Ericsson,2019-10-20
CSE0021033,BP,2017-7-22
CSE0021034,Dai-ichi Mutual Life Insurance,2020-11-21
CSE0021035,Fiat,2017-3-31
CSE0021036,Meituan,2019-2-1
CSE0021037,Mizuho Holdings,2020-2-15
CSE0021038,Total Fina Elf,2018-7-10
CSE0021039,L.M. Ericsson,2020-1-6
CSE0021040,Nissan Motor,2017-9-6
CSE0021041,Credit Suisse,2019-11-4
CSE0021042,Agricultural Bank of China,2019-4-4
CSE0021043,Fannie Mae,2018-11-16
CSE0021044,China Electronics Technology Group Corporation,2017-9-15
CSE0021045,DaimlerChrysler,2022-1-5
CSE0021046,State Power Corporation,2024-8-11
CSE0021047,MetLife,2024-2-15
CSE0021048,ABN AMRO Holding,2016-2-2
CSE0021049,SBC Communications,2022-12-17
CSE0021050,Alcatel,2019-11-14
CSE0021051,HSBC Holdings,2020-6-5
CSE0021052,Chengdu AIG,2021-4-9
CSE0021053,Thyssen Krupp,2020-4-15
CSE0021054,Delphi Automotive Systems,2022-3-3
CSE0021055,Xiaomi,2023-4-25
CSE0021056,Tencent,2020-8-21
CSE0021057,Matsushita Electric Industrial,2022-1-29
CSE0021058,Fortis,2022-7-6
CSE0021059,Meiji Life Insurance,2024-1-13
CSE0021060,Philip Morris,2017-3-25
CSE0021061,Xiaomi,2019-6-3
CSE0021062,Alibaba,2024-10-27
CSE0021063,Nissho Iwai,2017-8-4
CSE0021064,Toyota Motor,2020-6-3
CSE0021065,Fortis,2023-4-16
CSE0021066,TIAA-CREF,2022-9-18
CSE0021067,Tencent,2017-9-5
CSE0021068,Sina,2018-10-9
CSE0021069,Merck,2022-9-15
CSE0021070,MiHoYo,2024-12-8
CSE0021071,Target,2021-10-25
CSE0021072,Lucent Technologies,2019-5-25
CSE0021073,Royal Dutch-Shell Group,2020-4-23
CSE0021074,Safeway,2024-11-18
CSE0021075,Pemex,2022-5-2
CSE0021076,Crижdit Agricole,2020-10-15
CSE0021077,Exxon Mobil,2018-12-10
CSE0021078,Intel,2016-9-7
CSE0021079,Bank of America Corp.,2023-4-28
CSE0021080,Intl. Business Machines,2016-3-16
CSE0021081,UBS,2016-1-7
CSE0021082,Fujitsu,2023-9-11
CSE0021083,Ford Motor,2024-2-19
CSE0021084,Rwe Group,2017-7-1
CSE0021085,State Power Corporation,2016-2-15
CSE0021086,State Power Corporation,2016-5-15
CSE0021087,Meiji Life Insurance,2020-10-5
CSE0021088,Cardinal Health,2020-6-27
